#ROIid;ROIabbr
1;HIP-rh
2;AMY-rh
3;pTHA-rh
4;aTHA-rh
5;NAc-rh
6;GP-rh
7;PUT-rh
8;CAU-rh
9;HIP-lh
10;AMY-lh
11;pTHA-lh
12;aTHA-lh
13;NAc-lh
14;GP-lh
15;PUT-lh
16;CAU-lh
17;400x7Networks_LH_Vis_1
18;400x7Networks_LH_Vis_2
19;400x7Networks_LH_Vis_3
20;400x7Networks_LH_Vis_4
21;400x7Networks_LH_Vis_5
22;400x7Networks_LH_Vis_6
23;400x7Networks_LH_Vis_7
24;400x7Networks_LH_Vis_8
25;400x7Networks_LH_Vis_9
26;400x7Networks_LH_Vis_10
27;400x7Networks_LH_Vis_11
28;400x7Networks_LH_Vis_12
29;400x7Networks_LH_Vis_13
30;400x7Networks_LH_Vis_14
31;400x7Networks_LH_Vis_15
32;400x7Networks_LH_Vis_16
33;400x7Networks_LH_Vis_17
34;400x7Networks_LH_Vis_18
35;400x7Networks_LH_Vis_19
36;400x7Networks_LH_Vis_20
37;400x7Networks_LH_Vis_21
38;400x7Networks_LH_Vis_22
39;400x7Networks_LH_Vis_23
40;400x7Networks_LH_Vis_24
41;400x7Networks_LH_Vis_25
42;400x7Networks_LH_Vis_26
43;400x7Networks_LH_Vis_27
44;400x7Networks_LH_Vis_28
45;400x7Networks_LH_Vis_29
46;400x7Networks_LH_Vis_30
47;400x7Networks_LH_Vis_31
48;400x7Networks_LH_SomMot_1
49;400x7Networks_LH_SomMot_2
50;400x7Networks_LH_SomMot_3
51;400x7Networks_LH_SomMot_4
52;400x7Networks_LH_SomMot_5
53;400x7Networks_LH_SomMot_6
54;400x7Networks_LH_SomMot_7
55;400x7Networks_LH_SomMot_8
56;400x7Networks_LH_SomMot_9
57;400x7Networks_LH_SomMot_10
58;400x7Networks_LH_SomMot_11
59;400x7Networks_LH_SomMot_12
60;400x7Networks_LH_SomMot_13
61;400x7Networks_LH_SomMot_14
62;400x7Networks_LH_SomMot_15
63;400x7Networks_LH_SomMot_16
64;400x7Networks_LH_SomMot_17
65;400x7Networks_LH_SomMot_18
66;400x7Networks_LH_SomMot_19
67;400x7Networks_LH_SomMot_20
68;400x7Networks_LH_SomMot_21
69;400x7Networks_LH_SomMot_22
70;400x7Networks_LH_SomMot_23
71;400x7Networks_LH_SomMot_24
72;400x7Networks_LH_SomMot_25
73;400x7Networks_LH_SomMot_26
74;400x7Networks_LH_SomMot_27
75;400x7Networks_LH_SomMot_28
76;400x7Networks_LH_SomMot_29
77;400x7Networks_LH_SomMot_30
78;400x7Networks_LH_SomMot_31
79;400x7Networks_LH_SomMot_32
80;400x7Networks_LH_SomMot_33
81;400x7Networks_LH_SomMot_34
82;400x7Networks_LH_SomMot_35
83;400x7Networks_LH_SomMot_36
84;400x7Networks_LH_SomMot_37
85;400x7Networks_LH_DorsAttn_Post_1
86;400x7Networks_LH_DorsAttn_Post_2
87;400x7Networks_LH_DorsAttn_Post_3
88;400x7Networks_LH_DorsAttn_Post_4
89;400x7Networks_LH_DorsAttn_Post_5
90;400x7Networks_LH_DorsAttn_Post_6
91;400x7Networks_LH_DorsAttn_Post_7
92;400x7Networks_LH_DorsAttn_Post_8
93;400x7Networks_LH_DorsAttn_Post_9
94;400x7Networks_LH_DorsAttn_Post_10
95;400x7Networks_LH_DorsAttn_Post_11
96;400x7Networks_LH_DorsAttn_Post_12
97;400x7Networks_LH_DorsAttn_Post_13
98;400x7Networks_LH_DorsAttn_Post_14
99;400x7Networks_LH_DorsAttn_Post_15
100;400x7Networks_LH_DorsAttn_Post_16
101;400x7Networks_LH_DorsAttn_Post_17
102;400x7Networks_LH_DorsAttn_FEF_1
103;400x7Networks_LH_DorsAttn_FEF_2
104;400x7Networks_LH_DorsAttn_FEF_3
105;400x7Networks_LH_DorsAttn_FEF_4
106;400x7Networks_LH_DorsAttn_PrCv_1
107;400x7Networks_LH_DorsAttn_PrCv_2
108;400x7Networks_LH_SalVentAttn_ParOper_1
109;400x7Networks_LH_SalVentAttn_ParOper_2
110;400x7Networks_LH_SalVentAttn_ParOper_3
111;400x7Networks_LH_SalVentAttn_ParOper_4
112;400x7Networks_LH_SalVentAttn_TempOcc_1
113;400x7Networks_LH_SalVentAttn_FrOperIns_1
114;400x7Networks_LH_SalVentAttn_FrOperIns_2
115;400x7Networks_LH_SalVentAttn_FrOperIns_3
116;400x7Networks_LH_SalVentAttn_FrOperIns_4
117;400x7Networks_LH_SalVentAttn_FrOperIns_5
118;400x7Networks_LH_SalVentAttn_FrOperIns_6
119;400x7Networks_LH_SalVentAttn_FrOperIns_7
120;400x7Networks_LH_SalVentAttn_FrOperIns_8
121;400x7Networks_LH_SalVentAttn_FrOperIns_9
122;400x7Networks_LH_SalVentAttn_PFCl_1
123;400x7Networks_LH_SalVentAttn_Med_1
124;400x7Networks_LH_SalVentAttn_Med_2
125;400x7Networks_LH_SalVentAttn_Med_3
126;400x7Networks_LH_SalVentAttn_Med_4
127;400x7Networks_LH_SalVentAttn_Med_5
128;400x7Networks_LH_SalVentAttn_Med_6
129;400x7Networks_LH_SalVentAttn_Med_7
130;400x7Networks_LH_Limbic_OFC_1
131;400x7Networks_LH_Limbic_OFC_2
132;400x7Networks_LH_Limbic_OFC_3
133;400x7Networks_LH_Limbic_OFC_4
134;400x7Networks_LH_Limbic_OFC_5
135;400x7Networks_LH_Limbic_TempPole_1
136;400x7Networks_LH_Limbic_TempPole_2
137;400x7Networks_LH_Limbic_TempPole_3
138;400x7Networks_LH_Limbic_TempPole_4
139;400x7Networks_LH_Limbic_TempPole_5
140;400x7Networks_LH_Limbic_TempPole_6
141;400x7Networks_LH_Limbic_TempPole_7
142;400x7Networks_LH_Limbic_TempPole_8
143;400x7Networks_LH_Cont_Par_1
144;400x7Networks_LH_Cont_Par_2
145;400x7Networks_LH_Cont_Par_3
146;400x7Networks_LH_Cont_Par_4
147;400x7Networks_LH_Cont_Par_5
148;400x7Networks_LH_Cont_Par_6
149;400x7Networks_LH_Cont_Temp_1
150;400x7Networks_LH_Cont_OFC_1
151;400x7Networks_LH_Cont_PFCl_1
152;400x7Networks_LH_Cont_PFCl_2
153;400x7Networks_LH_Cont_PFCl_3
154;400x7Networks_LH_Cont_PFCl_4
155;400x7Networks_LH_Cont_PFCl_5
156;400x7Networks_LH_Cont_PFCl_6
157;400x7Networks_LH_Cont_PFCl_7
158;400x7Networks_LH_Cont_PFCl_8
159;400x7Networks_LH_Cont_PFCv_1
160;400x7Networks_LH_Cont_pCun_1
161;400x7Networks_LH_Cont_pCun_2
162;400x7Networks_LH_Cont_Cing_1
163;400x7Networks_LH_Cont_Cing_2
164;400x7Networks_LH_Cont_PFCmp_1
165;400x7Networks_LH_Default_Temp_1
166;400x7Networks_LH_Default_Temp_2
167;400x7Networks_LH_Default_Temp_3
168;400x7Networks_LH_Default_Temp_4
169;400x7Networks_LH_Default_Temp_5
170;400x7Networks_LH_Default_Temp_6
171;400x7Networks_LH_Default_Temp_7
172;400x7Networks_LH_Default_Temp_8
173;400x7Networks_LH_Default_Temp_9
174;400x7Networks_LH_Default_Temp_10
175;400x7Networks_LH_Default_Par_1
176;400x7Networks_LH_Default_Par_2
177;400x7Networks_LH_Default_Par_3
178;400x7Networks_LH_Default_Par_4
179;400x7Networks_LH_Default_Par_5
180;400x7Networks_LH_Default_Par_6
181;400x7Networks_LH_Default_Par_7
182;400x7Networks_LH_Default_PFC_1
183;400x7Networks_LH_Default_PFC_2
184;400x7Networks_LH_Default_PFC_3
185;400x7Networks_LH_Default_PFC_4
186;400x7Networks_LH_Default_PFC_5
187;400x7Networks_LH_Default_PFC_6
188;400x7Networks_LH_Default_PFC_7
189;400x7Networks_LH_Default_PFC_8
190;400x7Networks_LH_Default_PFC_9
191;400x7Networks_LH_Default_PFC_10
192;400x7Networks_LH_Default_PFC_11
193;400x7Networks_LH_Default_PFC_12
194;400x7Networks_LH_Default_PFC_13
195;400x7Networks_LH_Default_PFC_14
196;400x7Networks_LH_Default_PFC_15
197;400x7Networks_LH_Default_PFC_16
198;400x7Networks_LH_Default_PFC_17
199;400x7Networks_LH_Default_PFC_18
200;400x7Networks_LH_Default_PFC_19
201;400x7Networks_LH_Default_PFC_20
202;400x7Networks_LH_Default_PFC_21
203;400x7Networks_LH_Default_PFC_22
204;400x7Networks_LH_Default_PFC_23
205;400x7Networks_LH_Default_PFC_24
206;400x7Networks_LH_Default_pCunPCC_1
207;400x7Networks_LH_Default_pCunPCC_2
208;400x7Networks_LH_Default_pCunPCC_3
209;400x7Networks_LH_Default_pCunPCC_4
210;400x7Networks_LH_Default_pCunPCC_5
211;400x7Networks_LH_Default_pCunPCC_6
212;400x7Networks_LH_Default_pCunPCC_7
213;400x7Networks_LH_Default_pCunPCC_8
214;400x7Networks_LH_Default_pCunPCC_9
215;400x7Networks_LH_Default_pCunPCC_10
216;400x7Networks_LH_Default_pCunPCC_11
217;400x7Networks_RH_Vis_1
218;400x7Networks_RH_Vis_2
219;400x7Networks_RH_Vis_3
220;400x7Networks_RH_Vis_4
221;400x7Networks_RH_Vis_5
222;400x7Networks_RH_Vis_6
223;400x7Networks_RH_Vis_7
224;400x7Networks_RH_Vis_8
225;400x7Networks_RH_Vis_9
226;400x7Networks_RH_Vis_10
227;400x7Networks_RH_Vis_11
228;400x7Networks_RH_Vis_12
229;400x7Networks_RH_Vis_13
230;400x7Networks_RH_Vis_14
231;400x7Networks_RH_Vis_15
232;400x7Networks_RH_Vis_16
233;400x7Networks_RH_Vis_17
234;400x7Networks_RH_Vis_18
235;400x7Networks_RH_Vis_19
236;400x7Networks_RH_Vis_20
237;400x7Networks_RH_Vis_21
238;400x7Networks_RH_Vis_22
239;400x7Networks_RH_Vis_23
240;400x7Networks_RH_Vis_24
241;400x7Networks_RH_Vis_25
242;400x7Networks_RH_Vis_26
243;400x7Networks_RH_Vis_27
244;400x7Networks_RH_Vis_28
245;400x7Networks_RH_Vis_29
246;400x7Networks_RH_Vis_30
247;400x7Networks_RH_SomMot_1
248;400x7Networks_RH_SomMot_2
249;400x7Networks_RH_SomMot_3
250;400x7Networks_RH_SomMot_4
251;400x7Networks_RH_SomMot_5
252;400x7Networks_RH_SomMot_6
253;400x7Networks_RH_SomMot_7
254;400x7Networks_RH_SomMot_8
255;400x7Networks_RH_SomMot_9
256;400x7Networks_RH_SomMot_10
257;400x7Networks_RH_SomMot_11
258;400x7Networks_RH_SomMot_12
259;400x7Networks_RH_SomMot_13
260;400x7Networks_RH_SomMot_14
261;400x7Networks_RH_SomMot_15
262;400x7Networks_RH_SomMot_16
263;400x7Networks_RH_SomMot_17
264;400x7Networks_RH_SomMot_18
265;400x7Networks_RH_SomMot_19
266;400x7Networks_RH_SomMot_20
267;400x7Networks_RH_SomMot_21
268;400x7Networks_RH_SomMot_22
269;400x7Networks_RH_SomMot_23
270;400x7Networks_RH_SomMot_24
271;400x7Networks_RH_SomMot_25
272;400x7Networks_RH_SomMot_26
273;400x7Networks_RH_SomMot_27
274;400x7Networks_RH_SomMot_28
275;400x7Networks_RH_SomMot_29
276;400x7Networks_RH_SomMot_30
277;400x7Networks_RH_SomMot_31
278;400x7Networks_RH_SomMot_32
279;400x7Networks_RH_SomMot_33
280;400x7Networks_RH_SomMot_34
281;400x7Networks_RH_SomMot_35
282;400x7Networks_RH_SomMot_36
283;400x7Networks_RH_SomMot_37
284;400x7Networks_RH_SomMot_38
285;400x7Networks_RH_SomMot_39
286;400x7Networks_RH_SomMot_40
287;400x7Networks_RH_DorsAttn_Post_1
288;400x7Networks_RH_DorsAttn_Post_2
289;400x7Networks_RH_DorsAttn_Post_3
290;400x7Networks_RH_DorsAttn_Post_4
291;400x7Networks_RH_DorsAttn_Post_5
292;400x7Networks_RH_DorsAttn_Post_6
293;400x7Networks_RH_DorsAttn_Post_7
294;400x7Networks_RH_DorsAttn_Post_8
295;400x7Networks_RH_DorsAttn_Post_9
296;400x7Networks_RH_DorsAttn_Post_10
297;400x7Networks_RH_DorsAttn_Post_11
298;400x7Networks_RH_DorsAttn_Post_12
299;400x7Networks_RH_DorsAttn_Post_13
300;400x7Networks_RH_DorsAttn_Post_14
301;400x7Networks_RH_DorsAttn_Post_15
302;400x7Networks_RH_DorsAttn_Post_16
303;400x7Networks_RH_DorsAttn_Post_17
304;400x7Networks_RH_DorsAttn_Post_18
305;400x7Networks_RH_DorsAttn_Post_19
306;400x7Networks_RH_DorsAttn_FEF_1
307;400x7Networks_RH_DorsAttn_FEF_2
308;400x7Networks_RH_DorsAttn_FEF_3
309;400x7Networks_RH_DorsAttn_PrCv_1
310;400x7Networks_RH_SalVentAttn_TempOccPar_1
311;400x7Networks_RH_SalVentAttn_TempOccPar_2
312;400x7Networks_RH_SalVentAttn_TempOccPar_3
313;400x7Networks_RH_SalVentAttn_TempOccPar_4
314;400x7Networks_RH_SalVentAttn_TempOccPar_5
315;400x7Networks_RH_SalVentAttn_TempOccPar_6
316;400x7Networks_RH_SalVentAttn_TempOccPar_7
317;400x7Networks_RH_SalVentAttn_PrC_1
318;400x7Networks_RH_SalVentAttn_FrOperIns_1
319;400x7Networks_RH_SalVentAttn_FrOperIns_2
320;400x7Networks_RH_SalVentAttn_FrOperIns_3
321;400x7Networks_RH_SalVentAttn_FrOperIns_4
322;400x7Networks_RH_SalVentAttn_FrOperIns_5
323;400x7Networks_RH_SalVentAttn_FrOperIns_6
324;400x7Networks_RH_SalVentAttn_FrOperIns_7
325;400x7Networks_RH_SalVentAttn_FrOperIns_8
326;400x7Networks_RH_SalVentAttn_PFCl_1
327;400x7Networks_RH_SalVentAttn_Med_1
328;400x7Networks_RH_SalVentAttn_Med_2
329;400x7Networks_RH_SalVentAttn_Med_3
330;400x7Networks_RH_SalVentAttn_Med_4
331;400x7Networks_RH_SalVentAttn_Med_5
332;400x7Networks_RH_SalVentAttn_Med_6
333;400x7Networks_RH_SalVentAttn_Med_7
334;400x7Networks_RH_SalVentAttn_Med_8
335;400x7Networks_RH_Limbic_OFC_1
336;400x7Networks_RH_Limbic_OFC_2
337;400x7Networks_RH_Limbic_OFC_3
338;400x7Networks_RH_Limbic_OFC_4
339;400x7Networks_RH_Limbic_OFC_5
340;400x7Networks_RH_Limbic_OFC_6
341;400x7Networks_RH_Limbic_TempPole_1
342;400x7Networks_RH_Limbic_TempPole_2
343;400x7Networks_RH_Limbic_TempPole_3
344;400x7Networks_RH_Limbic_TempPole_4
345;400x7Networks_RH_Limbic_TempPole_5
346;400x7Networks_RH_Limbic_TempPole_6
347;400x7Networks_RH_Limbic_TempPole_7
348;400x7Networks_RH_Cont_Par_1
349;400x7Networks_RH_Cont_Par_2
350;400x7Networks_RH_Cont_Par_3
351;400x7Networks_RH_Cont_Par_4
352;400x7Networks_RH_Cont_Par_5
353;400x7Networks_RH_Cont_Par_6
354;400x7Networks_RH_Cont_Temp_1
355;400x7Networks_RH_Cont_Temp_2
356;400x7Networks_RH_Cont_PFCv_1
357;400x7Networks_RH_Cont_PFCl_1
358;400x7Networks_RH_Cont_PFCl_2
359;400x7Networks_RH_Cont_PFCl_3
360;400x7Networks_RH_Cont_PFCl_4
361;400x7Networks_RH_Cont_PFCl_5
362;400x7Networks_RH_Cont_PFCl_6
363;400x7Networks_RH_Cont_PFCl_7
364;400x7Networks_RH_Cont_PFCl_8
365;400x7Networks_RH_Cont_PFCl_9
366;400x7Networks_RH_Cont_PFCl_10
367;400x7Networks_RH_Cont_PFCl_11
368;400x7Networks_RH_Cont_PFCl_12
369;400x7Networks_RH_Cont_PFCl_13
370;400x7Networks_RH_Cont_PFCl_14
371;400x7Networks_RH_Cont_PFCl_15
372;400x7Networks_RH_Cont_pCun_1
373;400x7Networks_RH_Cont_pCun_2
374;400x7Networks_RH_Cont_Cing_1
375;400x7Networks_RH_Cont_Cing_2
376;400x7Networks_RH_Cont_PFCmp_1
377;400x7Networks_RH_Cont_PFCmp_2
378;400x7Networks_RH_Default_Par_1
379;400x7Networks_RH_Default_Par_2
380;400x7Networks_RH_Default_Par_3
381;400x7Networks_RH_Default_Par_4
382;400x7Networks_RH_Default_Par_5
383;400x7Networks_RH_Default_Temp_1
384;400x7Networks_RH_Default_Temp_2
385;400x7Networks_RH_Default_Temp_3
386;400x7Networks_RH_Default_Temp_4
387;400x7Networks_RH_Default_Temp_5
388;400x7Networks_RH_Default_Temp_6
389;400x7Networks_RH_Default_Temp_7
390;400x7Networks_RH_Default_Temp_8
391;400x7Networks_RH_Default_PFCv_1
392;400x7Networks_RH_Default_PFCv_2
393;400x7Networks_RH_Default_PFCv_3
394;400x7Networks_RH_Default_PFCv_4
395;400x7Networks_RH_Default_PFCdPFCm_1
396;400x7Networks_RH_Default_PFCdPFCm_2
397;400x7Networks_RH_Default_PFCdPFCm_3
398;400x7Networks_RH_Default_PFCdPFCm_4
399;400x7Networks_RH_Default_PFCdPFCm_5
400;400x7Networks_RH_Default_PFCdPFCm_6
401;400x7Networks_RH_Default_PFCdPFCm_7
402;400x7Networks_RH_Default_PFCdPFCm_8
403;400x7Networks_RH_Default_PFCdPFCm_9
404;400x7Networks_RH_Default_PFCdPFCm_10
405;400x7Networks_RH_Default_PFCdPFCm_11
406;400x7Networks_RH_Default_PFCdPFCm_12
407;400x7Networks_RH_Default_PFCdPFCm_13
408;400x7Networks_RH_Default_pCunPCC_1
409;400x7Networks_RH_Default_pCunPCC_2
410;400x7Networks_RH_Default_pCunPCC_3
411;400x7Networks_RH_Default_pCunPCC_4
412;400x7Networks_RH_Default_pCunPCC_5
413;400x7Networks_RH_Default_pCunPCC_6
414;400x7Networks_RH_Default_pCunPCC_7
415;400x7Networks_RH_Default_pCunPCC_8
416;400x7Networks_RH_Default_pCunPCC_9
